State	2022	2070	Percentage Change
Baden-Wuerttemberg	11278.6	11455.1	1.5649105385420174
Bayern	13381.3	13852.0	3.5175954503673093
Berlin	3770.5	4434.5	17.610396499138044
Bremen	687.4	724.5	5.397148676171083
Hamburg	1879.6000000000001	2034.2	8.22515428814641
Hessen	6379.6	6391.8	0.19123456016050877
Niedersachsen	8145.3	8140.8	-0.05524658391956097
Nordrhein-Westfalen	18080.5	17265.8	-4.5059594590857595
Rheinland-Pfalz	4160.2	4064.1	-2.309985096870341
Saarland	989.2	853.3	-13.738374443995156
Schleswig-Holstein	2955.3	2847.8	-3.6375325686055557
